,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
252,2006,ERI,Eritrea,SDN,Sudan,SWE,Sweden,2,"[39.0, 15.0]","[30.0, 15.0]","[15.0, 62.0]"
253,2006,SOM,Somalia,ETH,Ethiopia,DNK,Denmark,4,"[49.0, 10.0]","[38.0, 8.0]","[10.0, 56.0]"
254,2006,SOM,Somalia,KEN,Kenya,AUS,Australia,148,"[49.0, 10.0]","[38.0, 1.0]","[133.0, -27.0]"
255,2006,COD,Dem. Rep. of the Congo,RWA,Rwanda,FIN,Finland,20,"[25.0, 0.0]","[30.0, -2.0]","[26.0, 64.0]"
256,2006,COD,Dem. Rep. of the Congo,ETH,Ethiopia,NLD,Netherlands,4,"[25.0, 0.0]","[38.0, 8.0]","[5.75, 52.5]"
257,2006,ERI,Eritrea,SDN,Sudan,NOR,Norway,1,"[39.0, 15.0]","[30.0, 15.0]","[10.0, 62.0]"
258,2006,SDN,Sudan,DJI,Djibouti,CAN,Canada,1,"[30.0, 15.0]","[43.0, 11.5]","[-95.0, 60.0]"
259,2006,ERI,Eritrea,DJI,Djibouti,SWE,Sweden,1,"[39.0, 15.0]","[43.0, 11.5]","[15.0, 62.0]"
260,2006,SDN,Sudan,KEN,Kenya,USA,United States of America,30,"[30.0, 15.0]","[38.0, 1.0]","[-97.0, 38.0]"
261,2006,ERI,Eritrea,SOM,Somalia,CAN,Canada,2,"[39.0, 15.0]","[49.0, 10.0]","[-95.0, 60.0]"
262,2006,COD,Dem. Rep. of the Congo,RWA,Rwanda,DNK,Denmark,17,"[25.0, 0.0]","[30.0, -2.0]","[10.0, 56.0]"
263,2006,SDN,Sudan,KEN,Kenya,AUS,Australia,20,"[30.0, 15.0]","[38.0, 1.0]","[133.0, -27.0]"
264,2006,COD,Dem. Rep. of the Congo,SOM,Somalia,FIN,Finland,3,"[25.0, 0.0]","[49.0, 10.0]","[26.0, 64.0]"
265,2006,ERI,Eritrea,ETH,Ethiopia,NLD,Netherlands,2,"[39.0, 15.0]","[38.0, 8.0]","[5.75, 52.5]"
266,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,NOR,Norway,16,"[25.0, 0.0]","[32.0, 1.0]","[10.0, 62.0]"
267,2006,SOM,Somalia,ERI,Eritrea,CAN,Canada,37,"[49.0, 10.0]","[39.0, 15.0]","[-95.0, 60.0]"
268,2006,SDN,Sudan,ERI,Eritrea,SWE,Sweden,1,"[30.0, 15.0]","[39.0, 15.0]","[15.0, 62.0]"
269,2006,SOM,Somalia,RWA,Rwanda,USA,United States of America,1,"[49.0, 10.0]","[30.0, -2.0]","[-97.0, 38.0]"
270,2006,ERI,Eritrea,ETH,Ethiopia,CAN,Canada,43,"[39.0, 15.0]","[38.0, 8.0]","[-95.0, 60.0]"
271,2006,ERI,Eritrea,SDN,Sudan,CAN,Canada,90,"[39.0, 15.0]","[30.0, 15.0]","[-95.0, 60.0]"
272,2006,ERI,Eritrea,SDN,Sudan,DNK,Denmark,1,"[39.0, 15.0]","[30.0, 15.0]","[10.0, 56.0]"
273,2006,ERI,Eritrea,SDN,Sudan,AUS,Australia,287,"[39.0, 15.0]","[30.0, 15.0]","[133.0, -27.0]"
274,2006,ERI,Eritrea,SDN,Sudan,FIN,Finland,9,"[39.0, 15.0]","[30.0, 15.0]","[26.0, 64.0]"
275,2006,SOM,Somalia,ETH,Ethiopia,NLD,Netherlands,22,"[49.0, 10.0]","[38.0, 8.0]","[5.75, 52.5]"
276,2006,SOM,Somalia,UGA,Uganda,NOR,Norway,16,"[49.0, 10.0]","[32.0, 1.0]","[10.0, 62.0]"
277,2006,SDN,Sudan,ERI,Eritrea,CAN,Canada,16,"[30.0, 15.0]","[39.0, 15.0]","[-95.0, 60.0]"
278,2006,COD,Dem. Rep. of the Congo,BDI,Burundi,USA,United States of America,660,"[25.0, 0.0]","[30.0, -3.5]","[-97.0, 38.0]"
279,2006,SDN,Sudan,ETH,Ethiopia,SWE,Sweden,7,"[30.0, 15.0]","[38.0, 8.0]","[15.0, 62.0]"
280,2006,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,10,"[25.0, 0.0]","[35.0, -6.0]","[-97.0, 38.0]"
281,2006,SOM,Somalia,ETH,Ethiopia,CAN,Canada,31,"[49.0, 10.0]","[38.0, 8.0]","[-95.0, 60.0]"
282,2006,SOM,Somalia,SDN,Sudan,CAN,Canada,23,"[49.0, 10.0]","[30.0, 15.0]","[-95.0, 60.0]"
283,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,DNK,Denmark,110,"[25.0, 0.0]","[32.0, 1.0]","[10.0, 56.0]"
