Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2016,SOM,Somalia,AGO,Angola,USA,United States of America,3
2016,ERI,Eritrea,ZAF,South Africa,CAN,Canada,3
2016,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,762
2016,SOM,Somalia,ZAF,South Africa,NOR,Norway,5
2016,COD,Dem. Rep. of the Congo,BWA,Botswana,USA,United States of America,13
2016,ERI,Eritrea,SYC,Seychelles,CAN,Canada,1
2016,SOM,Somalia,ZMB,Zambia,USA,United States of America,13
2016,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,5
2016,SOM,Somalia,BWA,Botswana,USA,United States of America,27
2016,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,71
2016,SDN,Sudan,ZMB,Zambia,USA,United States of America,4
2016,SOM,Somalia,ZMB,Zambia,NOR,Norway,6
2016,SDN,Sudan,BWA,Botswana,USA,United States of America,1
2016,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,CAN,Canada,78
2016,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,309
2016,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,NOR,Norway,1
2016,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,743
2016,SOM,Somalia,ZWE,Zimbabwe,CAN,Canada,5
2016,ERI,Eritrea,ZWE,Zimbabwe,USA,United States of America,9
2016,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,14
2016,SOM,Somalia,MWI,Malawi,USA,United States of America,6
2016,SOM,Somalia,ZWE,Zimbabwe,USA,United States of America,3
2016,COD,Dem. Rep. of the Congo,BWA,Botswana,DNK,Denmark,1
2016,COD,Dem. Rep. of the Congo,MWI,Malawi,SWE,Sweden,23
2016,ERI,Eritrea,AGO,Angola,CAN,Canada,3
2016,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,132
2016,COD,Dem. Rep. of the Congo,ZMB,Zambia,DNK,Denmark,16
2016,COD,Dem. Rep. of the Congo,MOZ,Mozambique,SWE,Sweden,6
2016,COD,Dem. Rep. of the Congo,BWA,Botswana,CAN,Canada,1
2016,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,98
2016,COD,Dem. Rep. of the Congo,ZAF,South Africa,FRA,France,16
2016,COD,Dem. Rep. of the Congo,MWI,Malawi,CAN,Canada,106
2016,SOM,Somalia,ZAF,South Africa,SWE,Sweden,1
2016,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,129
2016,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,60
2016,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,83
2016,ERI,Eritrea,ZAF,South Africa,USA,United States of America,1
2016,COD,Dem. Rep. of the Congo,MWI,Malawi,NOR,Norway,14
2017,COD,Dem. Rep. of the Congo,ZAF,South Africa,FRA,France,9
2017,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,10
2017,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,40
2017,SOM,Somalia,ZAF,South Africa,FRA,France,9
2017,SOM,Somalia,ZAF,South Africa,USA,United States of America,115
2017,COD,Dem. Rep. of the Congo,SWZ,Eswatini,SWE,Sweden,4
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,233
2017,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,12
2017,SOM,Somalia,MWI,Malawi,USA,United States of America,5
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,SWE,Sweden,34
2017,SDN,Sudan,MWI,Malawi,USA,United States of America,2
2017,SOM,Somalia,BWA,Botswana,SWE,Sweden,7
2017,COD,Dem. Rep. of the Congo,BWA,Botswana,USA,United States of America,1
2017,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,FIN,Finland,152
2017,SOM,Somalia,ZMB,Zambia,NOR,Norway,2
2017,COD,Dem. Rep. of the Congo,AGO,Angola,USA,United States of America,3
2017,COD,Dem. Rep. of the Congo,ZMB,Zambia,FIN,Finland,10
2017,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,4
2017,COD,Dem. Rep. of the Congo,NAM,Namibia,NOR,Norway,4
2017,ERI,Eritrea,AGO,Angola,USA,United States of America,7
2017,COD,Dem. Rep. of the Congo,SWZ,Eswatini,FIN,Finland,8
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,CAN,Canada,9
2017,ERI,Eritrea,ZWE,Zimbabwe,USA,United States of America,1
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,NOR,Norway,7
2017,SOM,Somalia,AGO,Angola,USA,United States of America,4
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,AUS,Australia,252
2017,SOM,Somalia,MWI,Malawi,FIN,Finland,3
2017,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,90
2017,COD,Dem. Rep. of the Congo,MWI,Malawi,FIN,Finland,7
2017,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,FRA,France,6
2017,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,474
2018,COD,Dem. Rep. of the Congo,BWA,Botswana,NOR,Norway,24
2018,SDN,Sudan,ZMB,Zambia,USA,United States of America,1
2018,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,77
2018,COD,Dem. Rep. of the Congo,AGO,Angola,SWE,Sweden,5
2018,COD,Dem. Rep. of the Congo,MDG,Madagascar,NLD,Netherlands,1
2018,ERI,Eritrea,AGO,Angola,USA,United States of America,7
2018,SOM,Somalia,ZMB,Zambia,USA,United States of America,3
2018,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,2
2018,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,433
2018,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,15
2018,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,137
2018,COD,Dem. Rep. of the Congo,MWI,Malawi,CAN,Canada,59
2018,SDN,Sudan,NAM,Namibia,USA,United States of America,1
2018,COD,Dem. Rep. of the Congo,BWA,Botswana,CAN,Canada,39
2018,COD,Dem. Rep. of the Congo,ZMB,Zambia,SWE,Sweden,27
2018,COD,Dem. Rep. of the Congo,MOZ,Mozambique,USA,United States of America,60
2018,SOM,Somalia,ZMB,Zambia,SWE,Sweden,4
2018,COD,Dem. Rep. of the Congo,MWI,Malawi,USA,United States of America,571
2018,COD,Dem. Rep. of the Congo,MWI,Malawi,AUS,Australia,265
2018,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,27
2018,AFG,Afghanistan,MDG,Madagascar,USA,United States of America,1
2018,COD,Dem. Rep. of the Congo,AGO,Angola,USA,United States of America,19
2018,SOM,Somalia,ZAF,South Africa,SWE,Sweden,4
2018,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,4
2018,COD,Dem. Rep. of the Congo,ZAF,South Africa,NOR,Norway,6
2018,COD,Dem. Rep. of the Congo,ZWE,Zimbabwe,USA,United States of America,556
2018,COD,Dem. Rep. of the Congo,MOZ,Mozambique,SWE,Sweden,15
2018,COD,Dem. Rep. of the Congo,ZMB,Zambia,NLD,Netherlands,5
2018,SOM,Somalia,ZAF,South Africa,CAN,Canada,12
2018,AFG,Afghanistan,MDG,Madagascar,NOR,Norway,2
2018,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,447
