Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2006,IRQ,Iraq,MYS,Malaysia,CAN,Canada,4
2006,IRQ,Iraq,NPL,Nepal,USA,United States of America,7
2006,AFG,Afghanistan,KHM,Cambodia,USA,United States of America,2
2006,SOM,Somalia,HKG,"China, Hong Kong SAR",SWE,Sweden,2
2006,SDN,Sudan,THA,Thailand,USA,United States of America,1
2006,AFG,Afghanistan,PAK,Pakistan,DEU,Germany,1
2006,MMR,Myanmar,THA,Thailand,DNK,Denmark,2
2006,MMR,Myanmar,THA,Thailand,NZL,New Zealand,331
2006,AFG,Afghanistan,PAK,Pakistan,AUS,Australia,32
2006,MMR,Myanmar,HKG,"China, Hong Kong SAR",CAN,Canada,1
2006,MMR,Myanmar,MYS,Malaysia,FIN,Finland,3
2006,COD,Dem. Rep. of the Congo,THA,Thailand,SWE,Sweden,1
2006,AFG,Afghanistan,KGZ,Kyrgyzstan,USA,United States of America,5
2006,IRN,Iran (Islamic Rep. of),IND,India,NZL,New Zealand,4
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),NLD,Netherlands,3
2006,MMR,Myanmar,MYS,Malaysia,CAN,Canada,172
2006,MMR,Myanmar,NPL,Nepal,USA,United States of America,9
2006,MMR,Myanmar,THA,Thailand,BEL,Belgium,2
2006,MMR,Myanmar,KHM,Cambodia,USA,United States of America,3
2006,AFG,Afghanistan,IND,India,SWE,Sweden,2
2006,AFG,Afghanistan,TJK,Tajikistan,USA,United States of America,73
2006,MMR,Myanmar,HKG,"China, Hong Kong SAR",AUS,Australia,1
2006,AFG,Afghanistan,MYS,Malaysia,USA,United States of America,10
2006,IRQ,Iraq,PAK,Pakistan,AUS,Australia,7
2006,SOM,Somalia,HKG,"China, Hong Kong SAR",CAN,Canada,11
2006,AFG,Afghanistan,THA,Thailand,FIN,Finland,1
2006,IRQ,Iraq,THA,Thailand,SWE,Sweden,1
2006,MMR,Myanmar,IND,India,NZL,New Zealand,13
2006,IRQ,Iraq,KGZ,Kyrgyzstan,NLD,Netherlands,4
2006,SOM,Somalia,MYS,Malaysia,CAN,Canada,5
2006,SOM,Somalia,NPL,Nepal,USA,United States of America,5
2006,SOM,Somalia,KHM,Cambodia,USA,United States of America,1
2006,IRQ,Iraq,IND,India,SWE,Sweden,1
2006,IRN,Iran (Islamic Rep. of),TJK,Tajikistan,USA,United States of America,5
2006,AFG,Afghanistan,IND,India,AUS,Australia,13
2006,MMR,Myanmar,THA,Thailand,SWE,Sweden,204
2006,COD,Dem. Rep. of the Congo,MYS,Malaysia,USA,United States of America,2
2006,SOM,Somalia,PAK,Pakistan,AUS,Australia,10
2006,AFG,Afghanistan,IND,India,CAN,Canada,81
2006,IRQ,Iraq,THA,Thailand,FIN,Finland,1
2006,AFG,Afghanistan,IDN,Indonesia,NZL,New Zealand,1
2006,BTN,Bhutan,NPL,Nepal,NLD,Netherlands,6
2006,BTN,Bhutan,NPL,Nepal,CAN,Canada,24
2006,AFG,Afghanistan,PAK,Pakistan,USA,United States of America,114
2006,SDN,Sudan,KHM,Cambodia,USA,United States of America,1
2006,MMR,Myanmar,IND,India,SWE,Sweden,2
