Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2012,IRQ,Iraq,RUS,Russian Federation,USA,United States of America,3
2012,IRQ,Iraq,UKR,Ukraine,USA,United States of America,3
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,109
2012,SOM,Somalia,RUS,Russian Federation,FRA,France,1
2012,IRN,Iran (Islamic Rep. of),ARM,Armenia,CAN,Canada,1
2012,SOM,Somalia,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,1
2012,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,2
2012,IRQ,Iraq,TUR,Turkey,CAN,Canada,177
2012,AFG,Afghanistan,RUS,Russian Federation,SWE,Sweden,8
2012,SDN,Sudan,RUS,Russian Federation,USA,United States of America,1
2012,AFG,Afghanistan,AZE,Azerbaijan,CAN,Canada,70
2012,AFG,Afghanistan,TUR,Turkey,AUS,Australia,4
2012,IRQ,Iraq,TUR,Turkey,FIN,Finland,26
2012,SDN,Sudan,RUS,Russian Federation,FRA,France,1
2012,SOM,Somalia,TUR,Turkey,CAN,Canada,18
2012,SOM,Somalia,UKR,Ukraine,SWE,Sweden,2
2012,AFG,Afghanistan,TUR,Turkey,USA,United States of America,251
2012,IRN,Iran (Islamic Rep. of),UKR,Ukraine,HUN,Hungary,1
2012,IRQ,Iraq,AZE,Azerbaijan,CAN,Canada,6
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,246
2012,SOM,Somalia,TUR,Turkey,FIN,Finland,32
2012,IRN,Iran (Islamic Rep. of),TUR,Turkey,FRA,France,1
2012,COD,Dem. Rep. of the Congo,TUR,Turkey,USA,United States of America,2
2012,IRQ,Iraq,TUR,Turkey,FRA,France,1
2012,IRN,Iran (Islamic Rep. of),GEO,Georgia,CAN,Canada,1
2012,IRQ,Iraq,TUR,Turkey,AUS,Australia,866
2013,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,SWE,Sweden,1
2013,AFG,Afghanistan,TUR,Turkey,FIN,Finland,29
2013,AFG,Afghanistan,TUR,Turkey,AUS,Australia,1
2013,ERI,Eritrea,MLT,Malta,USA,United States of America,78
2013,SOM,Somalia,TUR,Turkey,FIN,Finland,13
2013,SOM,Somalia,TUR,Turkey,USA,United States of America,104
2013,ERI,Eritrea,UKR,Ukraine,DNK,Denmark,1
2013,SOM,Somalia,TUR,Turkey,CAN,Canada,10
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,SWE,Sweden,2
2013,AFG,Afghanistan,RUS,Russian Federation,ISL,Iceland,7
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,292
2013,SOM,Somalia,MLT,Malta,USA,United States of America,337
2013,SDN,Sudan,TUR,Turkey,USA,United States of America,3
2013,SYR,Syrian Arab Rep.,TUR,Turkey,CAN,Canada,1
2013,IRQ,Iraq,TUR,Turkey,SWE,Sweden,1
2013,IRQ,Iraq,TUR,Turkey,AUS,Australia,726
2013,SDN,Sudan,MLT,Malta,USA,United States of America,29
2013,SYR,Syrian Arab Rep.,TUR,Turkey,USA,United States of America,20
2013,AFG,Afghanistan,UKR,Ukraine,CAN,Canada,5
